"DOTA_Tooltip_ability_Primary_fire_blast"	"Primary Fire Blast"
"DOTA_Tooltip_ability_Advanced_Malefice_Description"	"Применяет эффект к указанному юниту, в результате чего враги, сосредоточенные на цели, получают урон и оглушаются через определенные промежутки времени.When a unit carrying the Abomination dies, it reduces the Abomination's cooldown by %cd_reduce% seconds.<br><br>[Сингулярность] Каждый раз, когда он срабатывает, он будет генерировать маленькую черную дыру с радиусом действия 300 в целевой координате, медленно притягивая окружающих юнитов в течение 1,5 секунд.Эта черная дыра не вызовет головокружения.<br><br>[Falsehood] Creates an illusion to attack the main target under effect of the spell, dealing half the damage of the spell each time, lasting for 5 seconds. Reflection's attack speed is related to self, but can only be 0.5 secs per time the fastest."
"DOTA_Tooltip_ability_Advanced_Malefice_Lore"	"Black holes are celestial bodies whose space-time curvature is so large that light cannot escape from it. Although man-made black holes are less than one-thousandth of the gravity of naturally formed black holes, they suffice to defeat enemies without backfiring at oneself."
"DOTA_Tooltip_ability_Advanced_Malefice_effect_radius"	"Радиус:"
"DOTA_Tooltip_ability_Advanced_Malefice_total_duration"	"Длительность:"
"DOTA_Tooltip_ability_Advanced_Malefice_stun_duration"	"Время оглушения:"
"DOTA_Tooltip_ability_Advanced_Malefice_effect_interval"	"Кулдаун:"
"DOTA_Tooltip_ability_Advanced_Malefice_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_Malefice_intelligence_index"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_Malefice_Note0"	"Доп. инфа:<br>The first instance occurs upon cast."


"DOTA_Tooltip_ability_Advanced_Demonic_Conversion"	"Advanced Demonic Conversion"
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_Description"	"Transforms part of ally’s power into fragments of Enigma himself. These eidolons are all under the caster’s control, and repeated %attacks_to_split% successful attacks cause them to multiply and have their health restored. <br><br>[Divided We Stand] Add 1 to the number of splits. <br><br>[Taichu Power] Eidolons drains power from the void, increasing 1.5% attack damage and movement speed per second."
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_Lore"	"At the beginning of time, there was only chaos, where energy was hidden and was to be merged with lights in the future to create everything."
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_Note0"	"<br>Доп. инфа:<br><font color=\"#d9534f\">The maximum number of Eidolon is 20 (cleared only when using ability again)</font><br>Atrribute inheritance Type: Draining inheritance. <br>This type of inheritance will get attribute bonuses from the target unit, usually high. <br>   After splitting, the existence time of the subclass is the remaining time of the parent class plus 15 seconds, unsplit. <br><br><font color=\"#5bc0de\">Affected by 50%% summon Strength and Summon Time gain.</font><br>"
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_basic_heal"	"Basic Health:"
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_basic_damage"	"Базовая атака:"
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_bonus_attribute_percentage"	"%Absorb Attribute:"
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_allied_attribute_loss"	"%Target Attribute Loss:"
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_allied_recovery_time"	"Recovery Time:"
"DOTA_Tooltip_ability_Advanced_Demonic_Conversion_duration"	"Life Duration:"

"DOTA_Tooltip_ability_Advanced_Black_Hole"	"Advanced Black Hole"
"DOTA_Tooltip_ability_Advanced_Black_Hole_Description"	"Channeled-summons a vortex that sucks in a wide range of enemy units, controlling and dealing damage to units at AOE. \n[Abyss] The radius of the vortex is affected by the caster's intelligence, increasing by 2 Radius for each point increase of intelligence.\n[Massive Black Hole] Bonus effect exceeding 500 points will transform into a massive black hole, dealing two times damage."
"DOTA_Tooltip_ability_Advanced_Black_Hole_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_Black_Hole_intelligence_index"	"Множитель интеллекта:"
"DOTA_Tooltip_ability_Advanced_Black_Hole_radius"	"Радиус: "
"DOTA_Tooltip_ability_Advanced_Black_Hole_duration"	"Длительность:"

"DOTA_Tooltip_ability_Advanced_Black_Hole_Lore"	"Maybe a couple of hours at the edge of a black hole would be 23 years for the outside world."
"DOTA_Tooltip_ability_Advanced_Nether_Blast"	"Advanced Nether Blast"
"DOTA_Tooltip_ability_Advanced_Nether_Blast_Description"	"Bombards an area after a short delay, dealing damage.\n[Ethereal Attack] directly damages the enemy's soul. Reduces the target's magic resistance by 50%% before dealing damage, which will be removed after damage is done.\n[Soul Capture] Captures the enemy's magic resistance, extracts 5%% of its magic resistance before the damage is dealt, and increases 2%% resistance yourself. This effect can be stacked 3 times on the enemy and 15 times on self. Refresh time for each stack, lasting 10 seconds."
"DOTA_Tooltip_ability_Advanced_Nether_Blast_Lore"	"Magic water takes away souls of creatures, extraditing them into the realm of death."
"DOTA_Tooltip_ability_Advanced_Nether_Blast_basic_damage"	"основной урон:"
"DOTA_Tooltip_ability_Advanced_Nether_Blast_intelligence_index"	"Множитель интеллекта:"
