"HUD_player_artifact_Title" "圣物：<font color=\"#6de2c5\">{s:ability_owner}</font>"
"DOTA_Tooltip_ability_item_hd_artifact_56_additional_1"	"【毒素模块升级】银刺的剧毒新星会降低目标%poison_reduction_1%%%中毒伤害抗性"
"DOTA_Tooltip_ability_item_hd_artifact_56_additional_2"	"【战术：速攻】银刺的剧毒新星对敌人造成首次影响时附带<font color='#9370db'>催化</font>，使其毒发间隔减少%poison_interval_reduction_2%%%，持续%duration_2%秒，不可叠加"
"DOTA_Tooltip_ability_item_hd_artifact_56_additional_3"	"【协同作战：荒】敌人于<font color='#9370db'>催化</font>内死亡时，召唤者获得一层<font color='#9370db'>协同：荒</font>，每层<font color='#9370db'>协同：荒</font>使所有<font color='#f0ffff'>SCI</font>召唤兽的攻击力增加%attack_3%%%。"
"DOTA_Tooltip_ability_item_hd_artifact_56_additional_4"	"【小队作战：中枢剧毒】同时激活所有<font color='#f0ffff'>SCI</font>系列圣物时，银刺的的属性大幅增加"
"DOTA_Tooltip_ability_item_hd_artifact_56_additional_7"	"【数据流强化】银刺施加的中毒状态会适用你正向技能增强的%spell_give_7%%%，至多%spell_max_7%%%"
"DOTA_Tooltip_modifier_item_hd_artifact_56"	"协同：荒"
"DOTA_Tooltip_modifier_item_hd_artifact_56_Description"	"SCI召唤兽的攻击力增加%fMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_item_hd_artifact_56_lv10"	"剧毒"
"DOTA_Tooltip_modifier_item_hd_artifact_56_lv10_Description"	"中毒伤害抗性降低%fMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_item_hd_artifact_56_lv20"	"催化"
"DOTA_Tooltip_modifier_item_hd_artifact_56_lv20_Description"	"中毒加速"
"DOTA_Tooltip_modifier_item_hd_artifact_56_lv30"	"协同作战：荒"
"DOTA_Tooltip_modifier_item_hd_artifact_56_lv30_Description"	"攻击力增加%fMODIFIER_PROPERTY_TOOLTIP%%%"
"npc_hd_spirit_of_sci_snake" "SCI - 银刺"

"DOTA_Tooltip_ability_item_hd_artifact_57"	"SCI -  烈鬃"
"DOTA_Tooltip_ability_item_hd_artifact_57_main_ability_title"	"机兽召唤：SCI - 烈鬃"
"DOTA_Tooltip_ability_item_hd_artifact_57_main_ability"	"每过%interval%秒，召唤存在%duration%秒的豹形机兽SCI-烈鬃。<br><br>SCI-烈鬃，无法攻击，哨兵，属性随商店等级成长，持续对周围的敌人释放闪电链造成会衰减雷属性物理伤害，最大召唤数为%max%，不受召唤时间影响。"
"DOTA_Tooltip_ability_item_hd_artifact_57_Lore"	"[玩家投稿]：来自玩家[wx]的设计投稿，掉落率较低，未开放购买途径。失去荣光的古城中发掘出的一件圣物，可以创造出骇人的怪物，其超脱的科技代表着曾经的高超科技水准。"
"DOTA_Tooltip_ability_item_hd_artifact_57_bonus_summon_intensity"	"%+$summon_intensity"
"DOTA_Tooltip_ability_item_hd_artifact_57_additional_1"	"【雷霆强化】烈鬃的<font color='#9370db'>闪电链</font>的衰减幅度小幅降低"
"DOTA_Tooltip_ability_item_hd_artifact_57_additional_2"	"【协同作战：啸】烈鬃击杀敌人时，召唤者获得一层<font color='#9370db'>协同：啸</font>，每层<font color='#9370db'>协同：啸</font>使所有<font color='#f0ffff'>SCI</font>召唤兽的攻击力提高%attack_2%%%"
"DOTA_Tooltip_ability_item_hd_artifact_57_additional_3"	"【狂雷模块】烈鬃每%count_3%次<font color='#9370db'>闪电链</font>会额外触发一次<font color='#9370db'>闪电链</font>"
"DOTA_Tooltip_ability_item_hd_artifact_57_additional_4"	"【小队作战：狂风怒号】同时激活所有<font color='#f0ffff'>SCI</font>系列圣物时，烈鬃习得<font color='#9370db'>元素球：雷</font>，额外<font color='#9370db'>闪电链</font>的所需触发次数降低至%count_4%次"
"DOTA_Tooltip_ability_item_hd_artifact_57_additional_7"	"【数据流强化】烈鬃会获得你正向技能增强的%spell_give_7%%%，至多%spell_max_7%%%"
"DOTA_Tooltip_modifier_item_hd_artifact_57"	"协同：啸"
"DOTA_Tooltip_modifier_item_hd_artifact_57_Description"	"SCI召唤兽的攻击力增加%fMODIFIER_PROPERTY_TOOLTIP%%%"
"npc_hd_artifact_sci_cat" "SCI - 烈鬃"
"DOTA_Tooltip_modifier_item_hd_artifact_57_lv20"	"协同作战：啸"
"DOTA_Tooltip_modifier_item_hd_artifact_57_lv20_Description"	"攻击力增加%fMODIFIER_PROPERTY_TOOLTIP%%%"

"DOTA_Tooltip_ability_item_hd_artifact_58"	"SCI - 亚塔岚，殁世巨鲸"
"DOTA_Tooltip_ability_item_hd_artifact_58_main_ability_title"	"机兽召唤：SCI - 亚塔岚"
"DOTA_Tooltip_ability_item_hd_artifact_58_main_ability"	"每过%interval%秒，召唤存在%interval%秒的鲸形机兽SCI-亚塔岚。<br><br>SCI-亚塔岚，无法攻击，哨兵，属性随商店等级成长，为<font color='#ffa075'>通灵者</font>持有者提供英雄等级x%block%点伤害格挡。"
"DOTA_Tooltip_ability_item_hd_artifact_58_Lore"	"[玩家投稿]：来自玩家[wx]的设计投稿，掉落率较低，未开放购买途径。失去荣光的古城中发掘出的一件圣物，可以创造出骇人的怪物，其超脱的科技代表着曾经的高超科技水准。"
"DOTA_Tooltip_ability_item_hd_artifact_58_bonus_summon_intensity"	"%+$summon_intensity"
"DOTA_Tooltip_ability_item_hd_artifact_58_additional_1"	"【转化：克里图斯】激活<font color='#9370db'>SCI-克里图斯</font>时，亚塔岚吞噬之并激活<font color='#9370db'>月光</font>天气，随后使用<font color='#9370db'>乱流：月光</font>作战，如果<font color='#9370db'>SCI-克里图斯</font>的圣物等级达到40级，亚塔岚的<font color='#9370db'>乱流：月光</font>将无视距离限制"
"DOTA_Tooltip_ability_item_hd_artifact_58_additional_2"	"【转化：烈鬃】激活<font color='#9370db'>SCI-烈鬃</font>时，亚塔岚吞噬之并激活<font color='#9370db'>大雨</font>天气，随后使用<font color='#9370db'>乱流：静态风暴</font>作战，如果<font color='#9370db'>SCI-烈鬃</font>的圣物等级达到40级，亚塔岚在此天气下的伤害总增%bonus_2%%% [×]"
"DOTA_Tooltip_ability_item_hd_artifact_58_additional_3"	"【转化：银刺】激活<font color='#9370db'>SCI-银刺</font>时，亚塔岚吞噬之并激活<font color='#9370db'>疫病</font>天气，随后使用<font color='#9370db'>死云术</font>作战，如果<font color='#9370db'>SCI-银刺</font>的圣物等级达到40级，亚塔岚在此天气下的伤害总增%bonus_3%%% [×]"
"DOTA_Tooltip_ability_item_hd_artifact_58_additional_4"	"【殁世：亚塔岚】同时激活所有<font color='#f0ffff'>SCI</font>系列圣物且所有<font color='#f0ffff'>SCI</font>系列圣物的圣物等级均达到40级时，亚塔岚习得<font color='#9370db'>元素球：火</font>、<font color='#9370db'>元素球：雷</font>、<font color='#9370db'>元素球：冰</font>，并使用<font color='#9370db'>焰击术</font>作战"
"DOTA_Tooltip_ability_item_hd_artifact_58_additional_6"	"【泰拉风暴】英雄等级高于%level_line_6%级后，每%interval_6%秒亚塔岚会对%radius_6%范围内距离其最近的敌人释放风暴，对其周围的区域造成大量持续伤害。元素类型从火、冰、雷属性中随机，伤害类型从物理、魔法、纯粹中随机。"
"DOTA_Tooltip_ability_item_hd_artifact_58_additional_7"	"【数据流强化】亚塔岚会获得你正向技能增强的%spell_give_7%%%，至多%spell_max_7%%%"
"npc_hd_artifact_sci_blue_whale" "SCI-亚塔岚"

"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan"	"御风番，锋锐臂刃"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_main_ability_title"	"被动：锋锐旋风"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_main_ability"	"普通攻击时，有%chance%%%几率切割自身周围%radius%范围内的敌人，对其造成全额攻击力x%damage%的物理伤害，敌人的生命值低于%line%%%时，此伤害无视其护甲。每%cd%秒至多触发一次。"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_Lore"	"[玩家投稿]：来自玩家[这个世界太乱]的设计投稿，掉落率较低，未开放购买途径。"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_bonus_damage"	"%+$damage"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_additional_1"	"【无情旋风】<font color='#9370db'>锋锐旋风</font>造成的伤害提高至全额攻击力x%damage_1%，无视护甲阈值提高至%line_1%%%"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_additional_2"	"【踏风】每一次<font color='#9370db'>锋锐旋风</font>命中的敌人数量会使自身拥有同样层数的<font color='#9370db'>踏风</font>，每层提高自身%attack_2%%%攻击力"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_additional_3"	"【超疾速风暴】<font color='#9370db'>锋锐旋风</font>会在%duration_3%秒内提升你%attack_speed_3%%%攻击速度，这个效果每%cdbig_3%秒至多触发一次"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_additional_4"	"【狂野回旋之风】<font color='#9370db'>超急速风暴</font>的触发间隔缩短至%cdbig_4%秒，在其持续时间内，<font color='#9370db'>锋锐旋风</font>的触发间隔缩短至%cd_4%秒，触发几率提高至%chance_4%%%，攻击间隔降低至%attack_time_4%秒"
"DOTA_Tooltip_ability_item_hd_dingzhi_tailuan_additional_7" "【踏风+】获得的<font color='#9370db'>踏风</font>的最小层数为%stack_min_7%层"
"DOTA_Tooltip_modifier_item_hd_dingzhi_tailuan"	"踏风"
"DOTA_Tooltip_modifier_item_hd_dingzhi_tailuan_Description"	"攻击力增加%fMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_item_hd_dingzhi_tailuan_lv30"	"超疾速风暴"
"DOTA_Tooltip_modifier_item_hd_dingzhi_tailuan_lv30_Description"	"攻击速度大幅提高"

"DOTA_Tooltip_ability_item_hd_dingzhi_saogang"	"欣喜橡实，罗拉之宝藏"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_main_ability_title"	"被动：橡实护盾"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_main_ability"	"你对其他<font color='#ffa075'>非增辉者</font>的友军英雄的治疗会对其丢出一颗橡实，使其获得%incoming%%%伤害减免和%armor%%%护甲，持续%duration%秒，对同一目标有%cd%秒冷却时间。"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_Lore"	"嘿！看看这个巨人，奎卡斯，看来他需要点建议！<br>[玩家投稿]：来自玩家[我嘞个骚刚]的设计投稿，掉落率较低，未开放购买途径。"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_bonus_mana"	"+$mana"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_additional_1"	"【雪中送果】<font color='#9370db'>橡实护盾</font>还会为目标提供%hp_1%%%最大生命上限，且其对同一目标的冷却时间降低至%cd_1%秒，"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_additional_2"	"【硬邦邦】<font color='#9370db'>橡实护盾</font>的伤害减免提高至%incoming_2%%%，单位生命值高于%line_2%%%时进一步提高至%incoming_high_2%%%"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_additional_3"	"【丰裕】该圣物的装备需求等级减少%additional_3_level_require%级。仅<font color='#ffa075'>增辉者</font>：<font color='#9370db'>橡实护盾</font>使目标造成的伤害总增%outgoing_3%%% [×]"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_additional_4"	"【伟大橡实】目标受到致命伤害时，<font color='#9370db'>橡实护盾</font>会无效之，但也会有%chance_4%%%几率使自身随之消耗。仅<font color='#ffa075'>增辉者</font>：无效伤害后，为目标提供%incoming_4%%%伤害减免，持续%duration_4%秒"
"DOTA_Tooltip_ability_item_hd_dingzhi_saogang_additional_7"	"【超级储量】<font color='#9370db'>橡实护盾</font>对同一目标的冷却时间降低至%cd_7%秒，护甲增幅提高至%armor_7%%%"
"DOTA_Tooltip_modifier_item_hd_dingzhi_saogang_buff"	"橡实护盾"
"DOTA_Tooltip_modifier_item_hd_dingzhi_saogang_buff_Description"	"获得%dMODIFIER_PROPERTY_TOOLTIP%%%伤害减免和%dMODIFIER_PROPERTY_TOOLTIP%%%护甲"
"DOTA_Tooltip_modifier_item_hd_dingzhi_saogang_cd"	"橡实护盾冷却"
"DOTA_Tooltip_modifier_item_hd_dingzhi_saogang_cd_Description"	"近期从橡实护盾中收益，正在冷却"







"DOTA_Tooltip_ability_item_hd_artifact_9"	"神皮装束"
"DOTA_Tooltip_ability_item_hd_artifact_21"	"女武神头盔"
"DOTA_Tooltip_ability_item_hd_artifact_31"	"雪狐曼肩"
"DOTA_Tooltip_ability_item_hd_artifact_49"	"拉比克的变体魔方"
